Drill Listing
=============
Drill: .00984  Tool: 1  Feed: 0  Speed: 0
X 1910253  Y 1500803
X 1911253  Y 1508803
X 1908503  Y 1511553
X 1893753  Y 1511803
X 1908503  Y 1515303
X 1907253  Y 1519053
X 1908753  Y 1522803
X 1893753  Y 1525303
X 1908503  Y 1526553
X 1903253  Y 1533803
X 1893753  Y 1538803
X 1909253  Y 1539053
X 1914003  Y 1549553
X 1903503  Y 1552053
X 1915253  Y 1552053
X 1893753  Y 1555803
X 1908003  Y 1556803
X 1913503  Y 1561803
X 1905253  Y 1563803
X 1915253  Y 1569303
X 1916503  Y 1571553
X 1893753  Y 1572803
X 1906753  Y 1576553
X 1899753  Y 1578803
X 1913753  Y 1585303
X 1893753  Y 1586053
X 1905503  Y 1590303
X 1913753  Y 1593303
X 1900003  Y 1594053
X 1916753  Y 1598553
X 1893753  Y 1600303
X 1905753  Y 1603803
X 1899753  Y 1608303
X 1912253  Y 1610303
X 1906503  Y 1613803
X 1893753  Y 1617053
X 1906503  Y 1620303
X 1905253  Y 1625053
X 1897503  Y 1629053
X 1908753  Y 1634803
X 1915003  Y 1637553
X 1893753  Y 1639053
X 1908003  Y 1643303
X 1915003  Y 1643553
X 1905003  Y 1649303
X 1917003  Y 1649303
X 1929503  Y 1647553
X 1940753  Y 1647553
X 1940753  Y 1642553
X 1924003  Y 1640303
X 1927753  Y 1640303
X 1942503  Y 1640303
X 1926503  Y 1638053
X 1919753  Y 1624803
X 1926753  Y 1613053
X 1922753  Y 1605303
X 1926003  Y 1598553
X 1921003  Y 1598553
X 1929003  Y 1598553
X 1929003  Y 1578553
X 1921253  Y 1572053
X 1939003  Y 1569053
X 1937753  Y 1564053
X 1936753  Y 1552803
X 1929753  Y 1550053
X 1925503  Y 1538803
X 1918753  Y 1538053
X 1927253  Y 1536803
X 1929003  Y 1534803
X 1922253  Y 1534553
X 1918753  Y 1534553
X 1918753  Y 1531053
X 1923253  Y 1531053
X 1923253  Y 1528053
X 1918753  Y 1528053
X 1928003  Y 1528053
X 1936253  Y 1524053
X 1935003  Y 1520803
X 1938003  Y 1517303
X 1938003  Y 1511803
X 1930503  Y 1511803
X 1924003  Y 1510053
X 1926503  Y 1509053
X 1932253  Y 1508303
X 1932003  Y 1501053
X 1953003  Y 1500303
X 1950753  Y 1506803
X 1954503  Y 1511303
X 1946253  Y 1514303
X 1948003  Y 1517303
X 1954503  Y 1518803
X 1946503  Y 1521053
X 1943753  Y 1521303
X 1946503  Y 1523803
X 1948003  Y 1527303
X 1948003  Y 1535803
X 1960253  Y 1544803
X 1947003  Y 1545303
X 1955253  Y 1553053
X 1965753  Y 1556303
X 1962003  Y 1561303
X 1950753  Y 1562053
X 1967003  Y 1570053
X 1961003  Y 1572303
X 1954753  Y 1592053
X 1954753  Y 1594553
X 1947003  Y 1596553
X 1954753  Y 1596803
X 1954753  Y 1599053
X 1954253  Y 1601303
X 1966503  Y 1601303
X 1952003  Y 1610303
X 1946753  Y 1615303
X 1952503  Y 1619803
X 1946503  Y 1621803
X 1952753  Y 1625803
X 1949753  Y 1628053
X 1947503  Y 1629053
X 1958753  Y 1629053
X 1956753  Y 1630803
X 1946503  Y 1634803
X 1953003  Y 1634803
X 1961503  Y 1634803
X 1944253  Y 1636053
X 1945003  Y 1642553
X 1956253  Y 1642803
X 1966503  Y 1643053
X 1967753  Y 1648803
X 1953503  Y 1648803
X 1982253  Y 1648803
X 1979003  Y 1642303
X 1982253  Y 1639553
X 1992253  Y 1633053
X 1971253  Y 1629053
X 1983753  Y 1628803
X 1984003  Y 1622303
X 1985003  Y 1611553
X 1976003  Y 1605303
X 1971003  Y 1599053
X 1971003  Y 1596803
X 1993503  Y 1596303
X 1971003  Y 1594553
X 1970253  Y 1592303
X 1983003  Y 1591553
X 1992503  Y 1583803
X 1990253  Y 1583803
X 1980253  Y 1572303
X 1977753  Y 1570303
X 1969753  Y 1570053
X 1969753  Y 1564303
X 1982003  Y 1561303
X 1989003  Y 1558303
X 1973503  Y 1555053
X 1988253  Y 1550553
X 1980503  Y 1550303
X 1973003  Y 1541553
X 1986003  Y 1540553
X 1983753  Y 1540553
X 1971253  Y 1533053
X 1969003  Y 1533053
X 1981503  Y 1519803
X 1988753  Y 1517803
